Border,Date,Measure,Value,Average
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,2053135,1242768
US-Mexico Border,04/01/2019 12:00:00 AM,Trucks,524215,258538
US-Canada Border,04/01/2019 12:00:00 AM,Trucks,480477,251365
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Full,396298,183691
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,369321,225199
US-Mexico Border,04/01/2019 12:00:00 AM,Bus Passengers,195416,134138
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,157840,134573
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Empty,134214,68941
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,122028,45481
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,120438,37046
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,60767,43845
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Empty,50897,24250
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Full,42180,3466
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,31204,15798
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,13103,6628
US-Mexico Border,04/01/2019 12:00:00 AM,Buses,12822,7102
US-Canada Border,04/01/2019 12:00:00 AM,Buses,5050,3191
US-Canada Border,04/01/2019 12:00:00 AM,Trains,1968,795
US-Mexico Border,04/01/2019 12:00:00 AM,Trains,934,375
US-Mexico Border,04/01/2019 12:00:00 AM,Train Passengers,857,837
US-Mexico Border,03/02/2020 12:00:00 AM,Pedestrians,97428,4015392
US-Mexico Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,8123004,10809349
US-Mexico Border,03/01/2020 12:00:00 AM,Personal Vehicles,4866359,5873512
US-Mexico Border,03/01/2020 12:00:00 AM,Pedestrians,2705973,4015392
US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicle Passengers,1573915,4068046
US-Canada Border,03/01/2020 12:00:00 AM,Personal Vehicles,926710,2183200
US-Mexico Border,03/01/2020 12:00:00 AM,Trucks,558941,511941
US-Canada Border,03/01/2020 12:00:00 AM,Trucks,461858,453700
US-Mexico Border,03/01/2020 12:00:00 AM,Truck Containers Full,370040,372485
US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Full,349876,350999
US-Mexico Border,03/01/2020 12:00:00 AM,Truck Containers Empty,183481,143981
US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Full,161513,157075
US-Mexico Border,03/01/2020 12:00:00 AM,Bus Passengers,122823,176975
US-Canada Border,03/01/2020 12:00:00 AM,Truck Containers Empty,117941,114722
US-Canada Border,03/01/2020 12:00:00 AM,Rail Containers Empty,68024,60766
US-Mexico Border,03/01/2020 12:00:00 AM,Rail Containers Empty,53030,48823
US-Mexico Border,03/01/2020 12:00:00 AM,Rail Containers Full,42760,38118
US-Canada Border,03/01/2020 12:00:00 AM,Bus Passengers,25640,137000
US-Mexico Border,03/01/2020 12:00:00 AM,Buses,9565,12167
US-Canada Border,03/01/2020 12:00:00 AM,Pedestrians,8229,43484
US-Canada Border,03/01/2020 12:00:00 AM,Train Passengers,6345,22856
US-Canada Border,03/01/2020 12:00:00 AM,Trains,1959,1827
US-Canada Border,03/01/2020 12:00:00 AM,Buses,1707,6245
US-Mexico Border,03/01/2020 12:00:00 AM,Trains,1025,913
US-Mexico Border,03/01/2020 12:00:00 AM,Train Passengers,812,784
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,5367865,0
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,3593546,0
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,2709969,0
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1242768,0
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,1025377,0
